0.5,653.57
1,349.91
1.5,134.3
2,83.994
2.5,40.706
3,21.947
3.5,13.127
4,9.1035
4.5,8.9705
5,8.8149
5.5,9.8903
6,11.475
6.5,12.205
7,12.907
7.5,10.176
8,9.4734
8.5,10.462
9,10.471
9.5,9.9446
10,8.7408
10.5,10.619
11,10.815
11.5,11.904
12,9.8034
12.5,9.3576
13,9.1363
13.5,7.3808
14,5.3373
14.5,4.9922
15,4.4745
15.5,3.8638
16,3.6215
16.5,2.6133
17,2.558
17.5,1.7199
18,2.1554
18.5,1.2092
19,1.229
19.5,1.1801
20,1.0741
20.5,0.80791
21,0.84972
21.5,1.1767
22,1.0705
22.5,0.75294
23,0.50825
23.5,0.46674
24,0.48655
24.5,0.45817
25,0.44965
25.5,0.42028
26,0.42951
26.5,0.35251
27,0.26708
27.5,0.22775
28,0.18334
28.5,0.20439
29,0.21236
29.5,0.19
30,0.22861
30.5,0.2052
31,0.19946
31.5,0.17679
32,0.1509
32.5,0.14864
33,0.14257
33.5,0.12562
34,0.10611
34.5,0.11055
35,0.1017
35.5,0.094339
36,0.081384
36.5,0.078508
37,0.072142
37.5,0.060624
38,0.063885
38.5,0.063422
39,0.071084
39.5,0.059699
40,0.061969
40.5,0.060817
41,0.049823
41.5,0.058358
42,0.060424
42.5,0.063327
43,0.062182
43.5,0.071199
44,0.070637
44.5,0.067085
45,0.056351
45.5,0.055968
46,0.032638
46.5,0.029818
47,0.04006
47.5,0.048883
48,0.054682
48.5,0.040803
49,0.040283
49.5,0.034073
50,0.036988
50.5,0.034561
51,0.035754
51.5,0.027562
52,0.020263
52.5,0.023223
53,0.030862
53.5,0.034444
54,0.035719
54.5,0.02831
55,0.025187
55.5,0.025842
56,0.030135
56.5,0.027715
57,0.02878
57.5,0.025972
58,0.025173
58.5,0.024371
59,0.026192
59.5,0.023638
60,0.02364
60.5,0.02364
61,0.025217
61.5,0.02701
62,0.020634
62.5,0.018073
63,0.024837
63.5,0.024793
64,0.019828
64.5,0.016313
65,0.022592
65.5,0.024328
66,0.023573
66.5,0.015437
67,0.022606
67.5,0.02431
68,0.023191
68.5,0.01946
69,0.017942
69.5,0.015264
70,0.018197
70.5,0.01497
71,0.016395
71.5,0.0133
72,0.015385
72.5,0.020699
73,0.022098
73.5,0.017138
74,0.018966
74.5,0.01895
75,0.016226
75.5,0.014368
76,0.0097553
76.5,0.010485
77,0.014153
77.5,0.014511
78,0.013722
78.5,0.018929
79,0.028086
79.5,0.023364
80,0.019861
80.5,0.017249
81,0.019982
81.5,0.0195
82,0.01573
82.5,0.014408
83,0.015278
83.5,0.015975
84,0.016828
84.5,0.007732
85,0.016124
85.5,0.015864
86,0.0098658
86.5,0.0076731
87,0.011334
87.5,0.013026
88,0.013464
88.5,0.011895
89,0.012816
89.5,0.016177
90,0.017039
90.5,0.015218
91,0.011908
91.5,0.014433
92,0.017561
92.5,0.01432
93,0.016709
93.5,0.018497
94,0.015503
94.5,0.011258
95,0.012912
95.5,0.015665
96,0.01568
96.5,0.015467
97,0.018079
97.5,0.013352
98,0.01596
98.5,0.018488
99,0.016802
99.5,0.01124
